Time_Duration(s)	Send_Speed(mm/s)	FeedBack_Speed(mm/s)
0.000000	0	0
0.002230	0	0
0.002307	0	0
0.002375	0	0
0.002438	0	0
0.002503	0	0
0.002567	0	0
0.002630	0	0
0.002693	0	0
0.002757	0	0
0.002820	0	0
0.002883	0	0
0.002946	0	0
0.003010	0	0
0.003073	0	0
0.003137	0	0
0.003203	0	0
0.003269	0	0
0.003334	0	0
0.003398	0	0
0.003462	0	0
0.003527	0	0
0.003590	0	0
0.003654	0	0
0.003717	0	0
0.003780	0	0
0.003843	0	0
0.003906	0	0
0.003970	0	0
0.004038	0	0
0.004101	0	0
0.004164	0	0
0.004227	0	0
0.004290	0	0
0.004353	0	0
0.004417	0	0
0.004481	0	0
0.004546	0	0
0.004610	0	0
0.004673	0	0
0.004737	0	0
0.004801	0	0
0.004864	0	0
0.004927	0	0
0.004990	0	0
0.005053	0	0
0.005116	0	0
0.005179	0	0
0.005242	0	0
0.005305	0	0
0.005369	0	0
0.005432	0	0
0.005495	0	0
0.005559	0	0
0.005622	0	0
0.005686	0	0
0.005750	0	0
0.005814	0	0
0.005881	0	0
0.005945	0	0
0.006008	0	0
0.006071	0	0
0.006135	0	0
0.006198	0	0
0.006261	0	0
0.006325	0	0
0.006387	0	0
0.006450	0	0
0.006513	0	0
0.006576	0	0
0.006640	0	0
0.006707	0	0
0.006773	0	0
0.006836	0	0
0.006900	0	0
0.006964	0	0
0.007027	0	0
0.007091	0	0
0.007155	0	0
0.007218	0	0
0.007281	0	0
0.007344	0	0
0.007407	0	0
0.007471	0	0
0.007534	0	0
0.007597	0	0
0.007660	0	0
0.007722	0	0
0.007812	0	0
0.007876	0	0
0.007938	0	0
0.008002	0	0
0.008066	0	0
0.008130	0	0
0.008193	0	0
0.008257	0	0
0.008321	0	0
0.008384	0	0
0.008447	0	0
0.008510	0	0
0.008573	0	0
0.008639	0	0
0.008702	0	0
0.008766	0	0
0.008829	0	0
0.008892	0	0
0.008955	0	0
0.009018	0	0
0.009081	0	0
0.009143	0	0
0.009207	0	0
