Time_Duration(s)	Send_Speed(mm/s)	FeedBack_Speed(mm/s)
0.000000	0	0
0.002453	0	0
0.002500	0	0
0.002535	0	0
0.002571	0	0
0.002606	0	0
0.002642	0	0
0.002679	0	0
0.002714	0	0
0.002750	0	0
0.002786	0	0
0.002822	0	0
0.002857	0	0
0.002892	0	0
0.002927	0	0
0.002962	0	0
0.002997	0	0
0.003031	0	0
0.003067	0	0
0.003102	0	0
0.003137	0	0
0.003171	0	0
0.003207	0	0
0.003242	0	0
0.003277	0	0
0.003312	0	0
0.003347	0	0
0.003382	0	0
0.003416	0	0
0.003452	0	0
0.003487	0	0
0.003522	0	0
0.003556	0	0
0.003592	0	0
0.003837	0	0
0.003875	0	0
0.003911	0	0
0.003947	0	0
0.003982	0	0
0.004018	0	0
0.004053	0	0
0.004088	0	0
0.004123	0	0
0.004159	0	0
0.004194	0	0
0.004229	0	0
0.004264	0	0
0.004299	0	0
0.004334	0	0
0.004370	0	0
0.004405	0	0
0.004440	0	0
0.004476	0	0
0.004511	0	0
0.004546	0	0
0.004582	0	0
0.004617	0	0
0.004653	0	0
0.004687	0	0
0.004723	0	0
0.004757	0	0
0.004793	0	0
0.004827	0	0
0.004863	0	0
0.004898	0	0
0.004934	0	0
0.004969	0	0
0.005007	0	0
0.005042	0	0
0.005078	0	0
0.005113	0	0
0.005151	0	0
0.005187	0	0
0.005222	0	0
0.005257	0	0
0.005292	0	0
0.005327	0	0
0.005362	0	0
0.005397	0	0
0.005432	0	0
0.005467	0	0
0.005502	0	0
0.005537	0	0
0.005572	0	0
0.005611	0	0
0.005646	0	0
0.005681	0	0
0.005716	0	0
0.005751	0	0
0.005786	0	0
0.005821	0	0
0.005856	0	0
0.005892	0	0
0.005926	0	0
0.005962	0	0
0.005997	0	0
0.006032	0	0
0.006067	0	0
0.006102	0	0
0.006137	0	0
0.006172	0	0
0.006207	0	0
0.006242	0	0
0.006277	0	0
0.006312	0	0
0.006347	0	0
0.006382	0	0
0.006417	0	0
0.006452	0	0
0.006487	0	0
0.006522	0	0
0.006557	0	0
0.006592	0	0
0.006627	0	0
0.006662	0	0
0.006697	0	0
0.006732	0	0
0.006771	0	0
0.006805	0	0
0.006841	0	0
0.006875	0	0
0.006911	0	0
0.006945	0	0
0.006981	0	0
0.007016	0	0
0.007051	0	0
0.007086	0	0
0.007121	0	0
0.007156	0	0
0.007191	0	0
0.007227	0	0
0.007262	0	0
0.007297	0	0
0.007332	0	0
0.007367	0	0
0.007402	0	0
0.007437	0	0
0.007472	0	0
0.007507	0	0
0.007542	0	0
0.007577	0	0
0.007612	0	0
0.007647	0	0
0.007682	0	0
0.007719	0	0
0.007754	0	0
0.007790	0	0
0.007825	0	0
0.007861	0	0
0.007896	0	0
0.007935	0	0
0.007970	0	0
0.008005	0	0
0.008041	0	0
0.008076	0	0
0.008112	0	0
0.008146	0	0
0.008182	0	0
0.008217	0	0
0.008252	0	0
0.008287	0	0
0.008322	0	0
0.008357	0	0
0.008392	0	0
0.008427	0	0
0.008463	0	0
0.008497	0	0
0.008533	0	0
0.008568	0	0
0.008603	0	0
0.008638	0	0
0.008673	0	0
0.008708	0	0
0.008743	0	0
0.008778	0	0
0.008813	0	0
0.008848	0	0
0.008883	0	0
0.008918	0	0
0.008953	0	0
0.008988	0	0
0.009023	0	0
0.009058	0	0
0.009096	0	0
0.009131	0	0
0.009167	0	0
0.009201	0	0
0.009237	0	0
0.009272	0	0
0.009307	0	0
0.009342	0	0
0.009377	0	0
0.009412	0	0
0.009447	0	0
0.009482	0	0
0.009517	0	0
0.009552	0	0
0.009587	0	0
0.009623	0	0
0.009657	0	0
0.009693	0	0
0.009727	0	0
0.009763	0	0
0.009797	0	0
0.009832	0	0
0.009867	0	0
0.009902	0	0
0.009938	0	0
0.009972	0	0
0.010007	0	0
0.010042	0	0
0.010077	0	0
0.010112	0	0
0.010147	0	0
0.010182	0	0
0.010217	0	0
0.010255	0	0
0.010292	0	0
0.010327	0	0
0.010362	0	0
0.010397	0	0
0.010432	0	0
0.010468	0	0
0.010503	0	0
0.010538	0	0
0.010573	0	0
0.010608	0	0
0.010643	0	0
0.010678	0	0
0.010714	0	0
0.010749	0	0
0.010784	0	0
0.010819	0	0
0.010854	0	0
0.010889	0	0
0.010925	0	0
0.010960	0	0
